,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5
class 1,0.269662921,0.202247191,0.213483146,0.168539326,0.146067416
class 2,0.237288136,0.237288136,0.169491525,0.186440678,0.169491525
class 3,0.146341463,0.12195122,0.268292683,0.170731707,0.292682927
class 4,0.333333333,0.166666667,0,0.166666667,0.333333333
class 5,0,0,0,0,1
