,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5
class A,0.28,0.386666667,0.266666667,0.04,0.013333333
class C,0.4,0.2,0.3,0,0
class E,0.462962963,0.296296296,0.203703704,0.037037037,0
class V,0.318181818,0.318181818,0.272727273,0.045454545,0.045454545
class X,0.761904762,0.119047619,0.023809524,0,0
