,,,B205,𐃤,vessel
,,,B206,𐃥,vessel
,,,B207,𐃦,vessel
,,,B208,𐃧,vessel
,,,B209,𐃨,vessel
,,,B210,𐃩,vessel
,,,B211,𐃪,vessel
,,,B212,𐃫,vessel
,,,B213,𐃬,vessel
,,,B214,𐃭,vessel
,,,B215,𐃮,vessel
,,,B216,𐃯,vessel
,,,B217,𐃰,vessel
,,,B218,𐃱,vessel
,,,B219,𐃲,vessel
,,,B220,𐃄,footstool
,,,B221,𐃳,vessel
,,,B222,𐃴,vessel
,,,B225,𐃅,bathtub
,,,B226,𐃵,vessel
,,,B227,𐃶,vessel
,,,B228,𐃷,vessel
,,,B229,𐃸,vessel
,,,B230,𐃆,spear
,,,B231,𐃇,arrow
,,,B232,𐃈,
,,,B233,𐃉,"sword, pugio"
,,,B234,𐃊,
,,,B236,𐃋,"inverted sword, gupio"
,,,B240,𐃌,wheeled chariot
,,,B241,𐃍,chariot
,,,B242,𐃎,chariot frame
,,,B243,𐃏,wheel
,,,B244; b243,𐃏,rota
,,,B245,𐃐,
,,,B246,𐃑,
,,,B247,𐃒,dipte
,,,B248,𐃓,
,,,B249,𐃔,
,,,B250,𐃹,vessel
,,,B251,𐃕,
,,,B252,𐃖,
,,,B253,𐃗,
,,,B254,𐃘,dart
,,,B255,𐃙,
,,,B256,𐃚,
,,,B257,𐃛,
,,,B258,𐃜,
,,,B259,𐃝,
A301,𐙕,,B301; b155,𐃞,vessel
A302,𐙖,olive oil,B302; b226,𐃵,vessel
A303,𐙗,cyperus,B303; b226,𐃵,vessel
A304,𐙘,,B304; b226,𐃵,vessel
A305,𐙙,,B305,𐃺,vessel
A306,𐙚,,,,
A307,𐙛,,,,
A308,𐙜,,,,
A309A,𐙝,,,,
A309B,𐙞,,,,
A309C,𐙟,,,,
A310,𐙠,,,,
A311,𐙡,cum 𐙕,,,
A312,𐙢,,,,
A313A,𐙣,cum 𐙇,,,
A313B,𐙤,cum 𐙇,,,
A313C,𐙥,cum 𐙇,,,
A314,𐙦,,,,
A315,𐙧,,,,
A316,𐙨,,,,
A317,𐙩,,,,
A318,𐙪,,,,
A319,𐙫,,,,
A320,𐙬,,,,
A321,𐙭,,,,
A322,𐙮,,,,
A323,𐙯,,,,
A324,𐙰,,,,
A325,𐙱,,,,
A326,𐙲,,,,
A327,𐙳,,,,
A328,𐙴,,,,
A329,𐙵,,,,
A330,𐙶,"cum 𐘀, 𐘞",,,
A331,𐙷,,,,
A332,𐙸,,,,
A333,𐙹,,,,
A334,𐙺,,,,
A335,𐙻,,,,
A336,𐙼,,,,
A337,𐙽,cum 𐙓,,,
A338,𐙾,,,,
A339,𐙿,,,,
A340,𐚀,,,,
A341,𐚁,cum 𐘢,,,
A342,𐚂,,,,
A343,𐚃,,,,
A344,𐚄,,,,
A345,𐚅,,,,
A346,𐚆,,,,
A347,𐚇,,,,
A348,𐚈,cum 𐙗,,,
A349,𐚉,,,,
A350,𐚊,,,,
A351,𐚋,cum 𐙕,,,
A352,𐚌,,,,
A353,𐚍,,,,
A354,𐚎,,,,
A355,𐚏,,,,
A356,𐚐,,,,
A357,𐚑,,,,
A358,𐚒,,,,
A359,𐚓,,,,
A360,𐚔,,,,
A361,𐚕,,,,
A362,𐚖,,,,
A363,𐚗,,,,
A364,𐚘,,,,
A365,𐚙,,,,
A366,𐚚,,,,
A367,𐚛,,,,
A368,𐚜,,,,
A369,𐚝,,,,
A370,𐚞,,,,
A371,𐚟,,,,
A400-VAS,𐚠,,,,
A401-VAS,𐚡,,,,
A402-VAS,𐚢,,,,
A403-VAS,𐚣,,,,
A404-VAS,𐚤,,,,
A405-VAS,𐚥,,,,
A406-VAS,𐚦,,,,
A407-VAS,𐚧,,,,
A408-VAS,𐚨,,,,
A409-VAS,𐚩,,,,
A410-VAS,𐚪,,,,
A411-VAS,𐚫,,,,
A412-VAS,𐚬,,,,
A413-VAS,𐚭,,,,
A414-VAS,𐚮,,,,
A415-VAS,𐚯,,,,
A416-VAS,𐚰,,,,
A417-VAS,𐚱,,,,
A418-VAS,𐚲,,,,
A501,𐚳,,,,
A502,𐚴,,,,
A503,𐚵,,,,
A504,𐚶,,,,
A505,𐚷,,,,
A506,𐚸,,,,
A507,𐘋𐙍,,,,
A508,𐚹,,,,
A509,𐚺,,,,
